Intent,Sentence,Outlier
诗歌,毛泽东 的 诗 哦,False
比赛,2013 年 亚洲 冠军联赛 和 广州 恒大 比赛 时间,False
翻译,苹果 翻译成 英语,False
食谱,孜然 排骨 怎么 做,False
翻译,今天 我 要 去 逛街 用 英语 说,False
天气,查 南京 天气,False
食谱,做 花生 拌 豆腐 需要 什么 材料 啊,False
股票,泰山 石油 股票,False
节目,下 周 有 什么 好看 的 恐怖电影,False
食谱,赵柏 田鸡 怎么 做 啊,False
诗歌,搜索 岳飞 的 诗 满江红,False
健康,甲亢 怎么 治疗,False
飞机,查下 上海 到 太原 的 机票,False
食谱,鱼香肉丝 的 做法 啊,False
食谱,酸辣 藕 丁 的 做法,False
健康,暴发性 紫癜,False
诗歌,朗诵 一 首 李白 的 诗词,False
网站,进入 中国移动 官方网站,False
日程,设置 明天 8 : 10 闹钟,False
食谱,面包 怎么 做,False
诗歌,来 一 首 李清照 的 词,False
诗歌,朗读 一 首 李白 的 诗 呗,False
食谱,怎么 做 酸菜鱼,False
食谱,做 可乐 鸡翅 需要 哪些 材料,False
节目,动漫 频道 三 天 之后 有 开始 播 吸血鬼 日记 第 四 季 呢,False
飞机,查询 今天 上海 到 成都 的 航班,False
食谱,福寿鱼 怎么 煮 比较 好吃,False
翻译,你 曾 爱 过 我 吗 用 英语 怎么 说,False
食谱,红烧肉 的 做法 啊,False
时间,端午节 是 哪一天,False
新闻,哦 听 新闻,False
飞机,查询 大大 后天 广州 到 武汉 的 航班,False
食谱,豆沙包,False
食谱,银耳 莲子粥 怎么 做,False
火车,去 南昌 的 火车,False
时间,日期 植树节,False
火车,明天 广州 到 长葛 的 火车,False
短信,发短信 人名,False
健康,更年期 综合症,False
火车,重庆 到 成都 的 火车票 多少 钱,False
天气,帮 我 看看 今天 的 天气,False
健康,多囊肾 怎么 治 啊,False
食谱,素鸡,False
健康,得 了 关节炎 怎么办,False
天气,今天 广州 的 天气 怎样,False
app,帮 我 打开 人人,False
食谱,拔丝 芋头 怎么 做,False
股票,南京 熊猫 股票,False
诗歌,读 首 唐诗 来 听听,False
时间,查询 距离 12 点 25 分 还有 多少 分钟,False
诗歌,搜索 一下 白居易 的 诗,False
股票,查询 股票 00230,False
新闻,我 想 听 重庆 新闻,False
电视频道,我 要 看 云南 二 台,False
股票,罗顿 发展 的 股票,False
app,链家 地产 打开 QQ,False
食谱,不 懂 饭 的 做法,False
健康,得 了 皮肤病 怎么办,False
食谱,蒜 茄子 怎么 做,False
火车,星期四 去 上海 的 火车,False
飞机,后天 去 大连 的 航班,False
计算,根号 三 的 倒数,False
翻译,今天 的 天气 真是 好 用 英语 怎么 说,False
地图,查查 科大讯飞 在 哪里,False
网站,易车网 看看,False
地图,龙口 西路 在 哪里,False
股票,三安 光电 股票 号,False
诗歌,来首 纳兰性德 的 词,False
天气,今日 天气 怎么样 啊,False
网站,那 你 帮 我 打开 百度,False
网站,打开 猫扑,False
飞机,查询 后天 广州 到 上海 的 航班,False
节目,世界 军事 中央台 世界 军事,False
app,打开 uc 二 哦,False
节目,金鹰 卡通 今天 晚上 放 什么 节目,False
地图,我 想到 科大讯飞 走 高速 路线,False
新闻,盘锦 新闻,False
火车,查询 湛江 到 广州 的 火车票,False
诗歌,背 首 杜甫 的 诗 啊,False
食谱,刘林 面 怎么 做 啊,False
地图,嗯 我 想 知道 曲阜 在 什么 地方,False
食谱,猪肉 丸子 汤 怎么 做 啊,False
谜语,你 说 谜语 给 我 猜,False
天气,天气预报 广州,False
新闻,关注 一下 今天 的 欧洲杯 新闻,False
食谱,黑芝麻 怎么 炒,False
新闻,等 请 播报 新闻,False
电视频道,山东 高清,False
健康,内分泌 失调 了 怎么 调理,False
火车,有没有 徐州 到 洛阳 的 火车票,False
食谱,讯 飞语 点 请 你 搜索 一下 番茄 炒蛋 怎么 做,False
飞机,七月 三十一 日 上海 虹桥 到 北京 的 航班,False
电话,呼叫 浦蒲,False
电视频道,山东 台 高清,False
计算,9 的 2 次 方根 的 3 次方,False
翻译,小老虎 用 英语 怎么 讲,False
股票,查找 科大讯飞 股票 的 股价,False
网站,帮 我 上下 新浪网,False
食谱,小猪 哨 糖醋排骨 的 做法,False
app,打开 微信,False
app,打开 QQ 通讯,False
节目,北京 青年 频道 谁 在 说,False
电话,拨打 幺 三七 零 九五 二零 八五八,False
