outlier_score,prediciton,label
-1.2426131929230964,节目,比赛
-1.6902799497067007,视频,翻译
-1.641203494912764,联络,翻译
-1.4614255862877035,诗歌,翻译
-1.1399533039204783,时间,天气
-0.9771606799472817,节目,电视频道
-1.2738545705866196,节目,电台
-0.9841660971656786,新闻,电视频道
-1.120090517327185,时间,天气
-0.9558858701505188,聊天,翻译
-1.0158796883397707,联络,短信
-1.2196637654039182,节目,天气
-1.7275379749588258,股票,抽奖
-1.7002154349916,节目,电台
-1.1330992248128313,时间,天气
-2.1648239554014905,股票,抽奖
-0.9560683195361788,聊天,翻译
-1.0515978984744265,节目,电视频道
-1.047752924095788,聊天,翻译
-0.9497859298249546,聊天,地图
-1.3929133812857324,聊天,地图
-1.7534228147323354,火车,地图
-2.0976795311044247,节目,比赛
-0.9633713197437102,聊天,天气
-1.0156240998182855,公交,地图
-0.9541026143930578,聊天,地图
-1.1227426535652048,时间,天气
-1.9645374759709184,视频,电视频道
-1.4588071098869515,飞机,地图
-1.0611640640226312,节目,电视频道
-2.5354243250615167,聊天,翻译
-0.9718886061718521,节目,电视频道
-1.1929578689008173,视频,抽奖
-1.0057368829500604,节目,电视频道
-1.2065532295166919,火车,地图
-1.448379136250029,聊天,翻译
-0.9561644425555527,节目,电视频道
-1.0393516619900087,节目,电视频道
-0.9584842796379537,节目,电视频道
-1.0941064812455,时间,电台
-1.3030610129291622,聊天,天气
-2.497212779444958,聊天,地图
-2.059929138361249,节目,抽奖
-2.096270225374915,聊天,地图
-1.62642009891479,电话,短信
-1.1582778063500814,视频,比赛
-0.9581349617716673,节目,电视频道
-1.9708102508401446,视频,比赛
-1.9515206188599272,节目,比赛
-1.1346235977383075,时间,天气
-0.9802028136977642,聊天,天气
-1.100982322507154,视频,比赛
-1.6050881507267953,视频,翻译
-0.9819369425015779,诗歌,翻译
-1.261658935232004,email,短信
-1.641253142642611,电话,短信
-2.138732137703667,聊天,地图
-1.4386152063894255,小说,短信
-1.5008347414829524,联络,短信
-1.080037778825805,聊天,翻译
-1.0738313897060379,聊天,天气
-1.5756184324549984,小说,短信
-0.9991621494839217,聊天,天气
-1.5824280771826393,节目,翻译
-1.2495185442624315,app,抽奖
-1.0026089792110986,节目,电视频道
-0.949280354972727,聊天,地图
-0.964072271540657,节目,电视频道
-1.7080481082182692,节目,地图
-1.1375295261280864,音乐,电台
-1.9694804317228687,聊天,地图
-1.139819186775351,联络,抽奖
-1.434654338683258,聊天,天气
-0.986278462504037,节目,电视频道
-1.2453262218337124,节目,电台
-0.9790680781063312,新闻,电视频道
-1.1849202838071835,聊天,天气
-1.0908287430344985,聊天,翻译
-0.9592786192236072,聊天,翻译
-1.132880412985558,时间,天气
-1.518400785862377,联络,短信
-1.5306721888389867,小说,短信
-1.805409701288477,食谱,翻译
-0.9827756488163866,视频,翻译
-0.9735355689010534,聊天,比赛
-1.1226086380972125,时间,天气
-1.3625025114236569,视频,天气
-1.0291419506138717,节目,电视频道
-1.2377504422317354,联络,短信
-1.147127255008511,时间,电视频道
-1.1422964236118673,时间,天气
-2.0680264504718373,节目,抽奖
-1.4061634914997403,联络,短信
-0.9638756803694655,节目,电视频道
-1.3929229466073179,健康,电台
-1.2823395635679322,诗歌,天气
-1.1033601418430183,联络,短信
-1.7172872633767848,聊天,地图
-1.2533986984029637,小说,短信
-0.9825212164296898,节目,电视频道
-1.0583489009786224,公交,地图
-1.813408088570591,节目,抽奖
-1.154272360039396,时间,天气
-1.2152001779869153,节目,电台
-1.3988572844240967,小说,短信
-0.953142371091072,聊天,天气
-1.6046440903048929,谜语,地图
-1.2817952806003576,聊天,翻译
-1.266898352407757,飞机,地图
-1.0207194602673522,聊天,地图
-1.1385779043107807,公交,地图
-1.8081552051340979,诗歌,翻译
-1.3182156537656835,视频,比赛
-1.4533470708222953,小说,短信
-1.602540561380701,email,短信
-1.4701181599972517,小说,短信
-1.064880767275198,飞机,地图
-0.9610116682670411,聊天,天气
-0.954888716902224,聊天,翻译
-1.4781368310473102,联络,电视频道
-1.5190724522508827,小说,短信
-1.826078327724542,视频,翻译
-0.9497621298935526,聊天,天气
-1.190271209447908,联络,地图
-1.6938399396450308,节目,电视频道
-0.9704349269721533,app,电台
-1.0194710554671749,公交,地图
-0.9711224189907945,节目,电视频道
-0.9814115946121464,联络,短信
-1.573385881550958,联络,短信
-1.0203655890128747,联络,短信
-1.10245780875618,公交,地图
-0.9694697877267447,节目,电视频道
-1.9156300506872643,诗歌,翻译
-1.2268855232771918,时间,天气
-1.1450299479425148,公交,地图
-0.9543689675753486,聊天,地图
-1.3262478096562995,email,翻译
-1.6051193823348968,视频,电视频道
-1.0932074069473927,时间,电台
-1.6089607999657438,联络,抽奖
-1.725534462916832,聊天,翻译
-1.1453740274559938,飞机,地图
-1.3713883302427479,计算,电台
-1.2994318683516273,公交,地图
-1.738029936872136,节目,抽奖
-2.1795029724179686,聊天,天气
-0.9814115946121464,联络,短信
-1.7234061825533051,视频,比赛
-1.0804264172874065,节目,电视频道
-1.1477216771007541,小说,短信
-1.8690062339765405,节目,抽奖
-0.9984183717073373,聊天,地图
-1.7435857284003036,视频,地图
-1.6603191836164597,app,短信
-1.4430498828150604,email,短信
-0.9486312282876703,聊天,翻译
-0.9429796027599998,聊天,翻译
-1.1310409494123888,时间,天气
-1.1248742908953893,时间,天气
-2.107610769997477,视频,电视频道
-2.0141616922822267,节目,比赛
-1.9203430050416646,诗歌,翻译
-0.9663002971815585,节目,电视频道
-1.3947527322874511,联络,短信
-1.8294307203858942,视频,翻译
-1.0078682442125348,聊天,地图
-0.949431771410989,聊天,天气
-1.8571675522471722,诗歌,翻译
-1.6888130537771928,电话,短信
-1.7017852948123626,电话,短信
-0.9813565325148931,聊天,天气
-2.839330903704406,聊天,翻译
-2.331652585105437,聊天,天气
-0.9683864259098998,聊天,翻译
-1.1746927119469937,联络,抽奖
-1.56139515457911,聊天,翻译
-1.2628379114175132,小说,短信
-1.0039180757035981,联络,短信
-1.2700391151699244,app,抽奖
-0.9598920313631831,聊天,翻译
-0.964018419906524,节目,电视频道
-1.3121534542961055,飞机,地图
-1.1418353043539322,时间,天气
-1.1183264765258243,时间,天气
-1.581677909831179,email,短信
-1.5381797187180168,联络,短信
-1.0154604464757588,节目,电视频道
-1.0736664939929084,联络,短信
-1.015880091621118,节目,电视频道
-2.099210582697082,视频,电视频道
