outlier_score,prediciton,label
-1.3517258508314567,短信,聊天
-1.0884891458853394,电视频道,比赛
-1.0190626609826765,地图,聊天
-0.9631474083532572,地图,公交
-1.0936309628277379,联络,食谱
-1.2411865017879442,音乐,聊天
-0.9958142867459701,地图,聊天
-1.1025191798582585,电视频道,天气
-1.147442008393875,地图,食谱
-1.2036306279190552,电视频道,股票
-1.3348600584259005,地图,节目
-1.0096483119321795,地图,聊天
-1.372825057621451,音乐,聊天
-1.2159164571149885,地图,聊天
-1.1530784717230087,地图,食谱
-1.176011625827313,音乐,聊天
-1.0689023249865302,地图,聊天
-1.173689187410219,电视频道,股票
-1.0632877184941798,地图,聊天
-0.9789990096563234,电视频道,电台
-1.1366322080269247,电视频道,网站
-1.0469228154183021,地图,健康
-0.9847580924047239,地图,飞机
-1.0242191381002204,地图,聊天
-1.2451531769929045,地图,食谱
-0.9886257911680971,地图,聊天
-1.2118186170069,音乐,聊天
-1.204837235963603,地图,食谱
-0.9925296539692379,联络,电话
-1.2725618830332297,诗歌,健康
-1.0625429220320233,诗歌,视频
-1.3574487523863807,翻译,食谱
-1.2333867661540385,地图,健康
-1.0753011518704882,联络,视频
-0.9868585439013253,地图,聊天
-1.3074621037524343,地图,节目
-1.2393890045380032,地图,视频
-1.2171996541937766,地图,节目
-1.072599114845168,联络,网站
-0.9903962707691891,地图,飞机
-1.0441449393487878,地图,日程
-1.001103068808391,地图,聊天
-1.1490467064261072,地图,聊天
-1.0475615953406519,地图,食谱
-1.0578806428437915,联络,食谱
-0.965128967283877,地图,聊天
-1.1357008162658768,地图,食谱
-1.100338540515391,地图,食谱
-1.019084357792283,电视频道,节目
-1.1935893731116405,电视频道,天气
-0.9896323278375139,地图,飞机
-1.0828645315691214,地图,食谱
-1.1927057381848916,电视频道,股票
-1.2494433672259195,翻译,食谱
-1.2438519376788886,翻译,时间
-1.077900643419785,地图,食谱
-1.407341390079073,地图,电影
-1.3511725618246007,电视频道,节目
-1.2534656376292346,诗歌,视频
-1.0389587301690342,电视频道,新闻
-0.9693625359772188,地图,飞机
-1.3064849457438337,地图,食谱
-1.332979412647663,诗歌,视频
-1.4783249244289822,诗歌,食谱
-1.2427871406807882,地图,聊天
-1.140101460218196,音乐,聊天
-0.9545737724100715,地图,火车
-1.2736453219442758,地图,聊天
-0.9867478772814937,联络,电话
-1.0086656948676471,联络,聊天
-1.177291823409519,地图,聊天
-0.9614361648827803,地图,聊天
-1.0339525335649224,地图,app
-1.0832972243521874,地图,时间
-0.9596795782400515,电视频道,节目
-0.9693600370737421,地图,飞机
-0.9645102043677237,地图,火车
-1.1000232728572947,地图,聊天
-1.3874121713676089,地图,聊天
-1.1212657037320297,地图,健康
-1.0092552654919316,地图,聊天
-1.442608987951645,翻译,视频
-0.9601549427215825,地图,火车
-1.1886402496381612,地图,天气
-1.1542642527883975,音乐,抽奖
-1.0755666978618903,地图,健康
-0.9762583671628147,电视频道,电台
-0.9647350898327949,地图,飞机
-1.4883016022890034,音乐,视频
-0.9679967623611215,地图,火车
-1.344156930249915,诗歌,食谱
-1.0514459521010588,地图,健康
-1.63663793911931,诗歌,视频
-1.043741907053975,地图,天气
-1.062154368876227,地图,抽奖
-1.0621488899867821,地图,app
-1.0425355174947641,地图,股票
-1.110316879309875,地图,食谱
-1.4125438521122713,诗歌,聊天
-1.3475444954844387,翻译,聊天
-1.081048386977955,地图,电话
-1.1058517339124212,地图,聊天
-1.152007292336566,电视频道,股票
-1.103961741183406,地图,聊天
-0.9932581036098667,地图,时间
-1.6182573829852231,诗歌,视频
-1.1592772011338375,地图,食谱
-1.1174278005526805,联络,股票
-1.1594833666697038,音乐,聊天
-1.085227964571318,电视频道,新闻
-1.0624498333424197,地图,股票
-1.091103144037396,电视频道,app
-1.412275136505649,翻译,食谱
-1.0287544348080802,地图,聊天
-1.1550978685121525,音乐,聊天
-0.9836151604451437,地图,公交
-1.0414602919081837,地图,健康
-1.050158275450661,联络,食谱
-1.0153031147346603,地图,聊天
-0.9640433981386403,地图,火车
-0.9749677867543382,地图,飞机
-1.4551254401099272,诗歌,食谱
-1.0834243229760518,地图,聊天
-1.027465410200924,联络,计算
-1.3580881382053833,音乐,视频
-1.1373934137329353,电视频道,网站
-1.0140941811880881,联络,股票
-1.0528795876571013,地图,比赛
-1.1494143389488378,地图,健康
-1.1139163709447335,地图,天气
-0.9761058591815532,地图,飞机
-1.2569396182277155,地图,网站
-1.1604700452587988,地图,聊天
-1.1753355500645302,地图,网站
-0.9758568218849032,地图,飞机
-0.9714123189514682,电视频道,节目
-1.066168136563244,地图,app
-1.071539228182952,电视频道,节目
-1.2008489522479242,地图,聊天
-1.02098868785961,音乐,聊天
-0.9763975990012078,电视频道,新闻
-0.9634681856657448,地图,火车
-1.1242646831097813,地图,食谱
-0.9668092986990068,地图,聊天
-1.458192535966272,诗歌,聊天
-1.4504182680010298,地图,视频
-1.3815055870460409,诗歌,食谱
-1.1343262785888912,联络,食谱
-1.1126267472074018,地图,聊天
-1.6817842363193318,诗歌,谜语
-0.9618195280569651,电视频道,节目
-1.427022548691531,诗歌,视频
-1.1260055391630448,音乐,聊天
-1.2483956227069772,地图,健康
-1.0647322453375068,联络,天气
-0.962238605961127,诗歌,聊天
-1.0641953641820225,地图,聊天
-1.0556971026943498,电视频道,新闻
-1.19490696931461,地图,食谱
-1.0098936666680574,电视频道,新闻
-1.1086985545700772,地图,健康
-1.0759974199931115,地图,食谱
-0.9637909771513833,地图,火车
-1.0193633390289993,地图,食谱
-0.993761456977355,地图,飞机
-0.9610530264442498,地图,公交
-1.1723737849189872,地图,电话
-1.187234789250002,地图,聊天
-1.3016778221997287,电视频道,电影
-1.1006327396178572,地图,计算
-0.9983212700358909,地图,股票
-1.0297758640029322,地图,股票
-0.9682570897166227,电视频道,视频
-1.0566148578046368,地图,聊天
-1.03640720555696,电视频道,网站
-1.3382085124988203,短信,email
-1.1915322336851069,翻译,食谱
-1.1826045740401887,音乐,聊天
-1.4605425843105124,地图,聊天
-1.0649963711685544,联络,食谱
-0.9650800378656387,地图,公交
-1.4089402119901537,短信,app
-1.113790160517453,地图,食谱
-1.0631151748185395,地图,聊天
-1.2776110936021736,电视频道,app
-0.9789789441009052,地图,飞机
-0.9706423344786957,电视频道,节目
-1.3755056133362304,诗歌,视频
-1.0327254158545445,联络,电话
-1.0025238569663617,地图,聊天
-1.0496517259915024,地图,食谱
-0.9789200832203605,地图,聊天
-1.4567421190244842,电视频道,视频
-0.9650800378656388,地图,公交
-1.16861942637356,地图,食谱
-1.1328306624681408,地图,聊天
-1.3720181857067844,地图,节目
-1.0699705193867597,地图,聊天
-1.3231135809201322,翻译,食谱
-1.073194685376266,地图,健康
-0.9757690593622168,地图,app
-1.1498402161800336,地图,日程
-1.4549057302144777,翻译,视频
-1.010496022704761,地图,股票
-1.1958143407579966,地图,聊天
-1.0710813300183133,地图,食谱
-0.9594750934368074,电视频道,节目
-0.9609952786731173,地图,公交
-1.0739560761428248,联络,股票
-1.4111984342947996,短信,抽奖
-1.1318323606004648,地图,聊天
-1.4449590605096636,翻译,视频
