Intent,Sentence,Outlier
search,where can i see the trailer for phineas redux ?,False
weather,is agnew united states has chilly weather,False
search,where can i watch the tv series breed the pain ?,False
weather,what s the weather forecast for my current position ?,False
weather,what s the weather forecast for here in august ?,False
weather,tell me the weather forecast for croatia now,False
music,play some fourties andrew lloyd webber on groove shark,False
search,where can i stream a television show called safety ep ?,False
search,please find me glass cloud – single,False
weather,is it going to get chillier at 5 am in trussville bosnia and herzegovina ?,False
search,find a video game called new york 911,False
search,i d like to hear the song in a reverie,False
weather,what is the weather forecast for yoakum sc ?,False
search,what is party all night,False
search,find the fields of sacrifice movie,False
search,show creative photograph of icewind dale heart of winter,False
weather,will it snow in haigler bosnia and herzegovina,False
weather,show me the forecast for anatone louisiana on november 7th,False
music,play some music using slacker,False
music,play a 1950 album on iheart,False
music,play songs by naomi schemer,False
weather,what is the weather forecast in va,False
search,find the mystery woman saga,False
search,find a book called screwed,False
music,play a record from the year 1979,False
music,play the music track of 1998,False
music,play the album a kiss before you go by bt,False
music,play some techno,False
weather,check the weather forecast in seven weeks for emida,False
music,play sunshine reggae on youtube,False
search,play the what i need to do soundtrack,False
weather,what is the freezing forecast for british virgin islands,False
music,play dhafer youssef top-twenty on netflix,False
weather,what is the weather forecast nearby sc,False
weather,weather in radnor township wv,False
search,please find me the work instrumental directions,False
music,play punk rock music,False
search,can you find me the restless natives ?,False
weather,what do the cloud indicate in east aurora,False
search,find tortured man,False
weather,what is the weather going to be like this evening in arkansas,False
weather,is it going to get hotter in my current position,False
weather,weather for oct 16 in mo,False
weather,forecast for laguna heights barbados,False
weather,what will the weather be in grand coteau ut at six pm ?,False
search,find a show called the paper route,False
search,where can i view the tv series of witch,False
search,show acta mathematicae applicatae sinica tv show,False
weather,what s the weather going to be like around lewis and clark trail sixteen hours from now ?,False
weather,how will the weather be in kentucky this week ?,False
weather,what s the weather in ri ?,False
search,where can i locate the show the return of mr moto,False
music,play music from 1950,False
weather,what s the weather in south hill,False
music,play music on netflix,False
weather,is there snowstorm in la ?,False
music,play top-twenty fourties movement music by mohammad reza lotfi,False
weather,give me the weather forecast in zimbabwe,False
music,play me a nineties song by joseph genaro,False
weather,will there be snowfall faraway from robinson forest,False
search,please find me the rear mirror saga,False
music,play music by odd nosdam,False
music,play music off itunes,False
music,play ep from quasimoto from the nineties,False
search,find the living room tapes a tv series,False
search,show me a picture of nokia football crazy,False
weather,what will the humidity be in beroun on aug 26,False
music,play something from the twenties on lastfm,False
search,i m looking for the music of nashville season 3 saga,False
search,show tv show schedule archiveis,False
search,please search the work eve-olution,False
weather,what will the weather be like at 3 am in trinidad and tobago,False
weather,what s the weather going to be one hour from now in taiwan,False
music,play the newest released song from 1951,False
weather,will it be warmer at 15 o clock in deepwater bonaire,False
weather,i d like to see weather conditions for ennis,False
music,i want to hear music by madeleine peyroux from 1991 on youtube,False
search,show me the album apache axis2,False
search,show creativity of book future of the past,False
weather,will there be a snowstorm in slick or four hours from now ?,False
weather,at my current spot is it going to be hotter on nov the eighth,False
weather,is it warm in sierra blanca now,False
search,find a tv series called the golden hits of sandie shaw,False
weather,how much fog is there in tarpon springs ?,False
music,play me a song by kevin cadogan,False
weather,what is the forecast for the current spot for cloudy conditions,False
music,play some chanson music,False
weather,what is the weather of pine city,False
music,play heavy machinery by phil spector on zvooq,False
